Address,City,state,matchAddress,Style,Style2,yearBuilt,propertyRank,currentUse,buildingName,communityArea,architect,buildingType,chicagoLandmarkLink,latitude,longitude,imageLink,photoCredit,photoCreditLink,webLink
4949 W Irving Park Road,Chicago,IL,4949-w-irving-park-road,Unclassified Style,,1933,,,Irving Hotel,,,,,41.953075,-87.751944,https://chicagoarchitecturedata.com/static/images/building_images/4949-w-irving-park-road-1462743858.jpg.800x800_q85_upscale.jpg,John Morris,http://john-morris.com/,https://chicagoarchitecturedata.com/buildings/4949-w-irving-park-road/
4947 N Kenmore Ave,Chicago,IL,4947-n-kenmore-ave,Unclassified Style,,,,,,,,,,41.973081,-87.655937,https://chicagoarchitecturedata.com/static/images/building_images/4947-n-kenmore-ave-1474220633.jpg.300x300_q85_crop.jpg,John Morris,http://john-morris.com/,https://chicagoarchitecturedata.com/buildings/4947-n-kenmore-ave/
4833 W Irving Park Road,Chicago,IL,4833-w-irving-park-road,Unclassified Style,,1921,,,,,,,,41.953105,-87.74868,https://chicagoarchitecturedata.com/static/images/building_images/4833-w-irving-park-road-1462743795.jpg.800x800_q85_upscale.jpg,John Morris,http://john-morris.com/,https://chicagoarchitecturedata.com/buildings/4833-w-irving-park-road/
4365 N Milwaukee Avenue,Chicago,IL,4365-n-milwaukee-avenue,Unclassified Style,,1930,,,,,,,,41.960452,-87.753959,https://chicagoarchitecturedata.com/static/images/building_images/4365-n-milwaukee-avenue-1462742522.jpg.300x300_q85_crop.jpg,John Morris,http://john-morris.com/,https://chicagoarchitecturedata.com/buildings/4365-n-milwaukee-avenue/
3940 W Lawrence Avenue,Chicago,IL,3940-w-lawrence-avenue,Unclassified Style,,,,,Admiral Theatre,,,,,41.968523,-87.727135,https://chicagoarchitecturedata.com/static/images/building_images/3940-w-lawrence-avenue-1447381726.jpg.800x800_q85_upscale.jpg,John Morris,http://john-morris.com/,https://chicagoarchitecturedata.com/buildings/3940-w-lawrence-avenue/
37 N Hamlin Boulevard,Chicago,IL,37-n-hamlin-boulevard-8,Unclassified Style,,,Possesses potentially significant architectural or historical features(OR),,Garfield Park Conservatory,East Garfield Park ,"Jensen, Jens J.",Conservatory,http://webapps.cityofchicago.org/landmarksweb/search/searchdetail.htm?pin=1611313001&formNumber=272811029,41.8812,-87.720679,https://chicagoarchitecturedata.com/static/images/building_images/3701-w-douglas-boulevard-1420409992.jpg.400x400_q85_crop_upscale.jpg,John Morris,http://john-morris.com/,https://chicagoarchitecturedata.com/buildings/37-n-hamlin-boulevard-8/
3622 W Ogden Ave,Chicago,IL,3622-w-ogden-ave,Unclassified Style,,,,,,,,,,41.854592,-87.715977,https://chicagoarchitecturedata.com/static/images/building_images/3622-w-ogden-ave-1455083779.jpg.800x800_q85_upscale.jpg,John Morris,http://john-morris.com/,https://chicagoarchitecturedata.com/buildings/3622-w-ogden-ave/
3609 W Cermak Road,Chicago,IL,3609-w-cermak-road,Unclassified Style,,1928,Possesses potentially significant architectural or historical features(OR),,Jackson Storage and Van Company Building,South Lawndale ,"Hall, Bisbee & Rhenich",Commercial,http://webapps.cityofchicago.org/landmarksweb/search/searchdetail.htm?pin=1626107004&formNumber=302216004,41.851369,-87.715476,https://chicagoarchitecturedata.com/static/images/building_images/3609-w-cermak-road-1449021127.jpg.800x800_q85_upscale.jpg,John Morris,http://john-morris.com/,https://chicagoarchitecturedata.com/buildings/3609-w-cermak-road/
322 W 60th Street,Chicago,IL,322-w-60th-street,Unclassified Style,,1889,(GN),,,Englewood ,,,http://webapps.cityofchicago.org/landmarksweb/search/searchdetail.htm?pin=2016402024&formNumber=680301013,41.785667,-87.633746,https://chicagoarchitecturedata.com/static/images/building_images/322-w-60th-street-1416697475.jpg.800x800_q85_upscale.jpg,John Morris,http://john-morris.com/,https://chicagoarchitecturedata.com/buildings/322-w-60th-street/
2934 N Sheffield Avenue,Chicago,IL,2934-n-sheffield-avenue,Unclassified Style,,1897,,,,,,,,41.935492,-87.654313,https://chicagoarchitecturedata.com/static/images/building_images/2934-n-sheffield-avenue-1463456894.jpg.800x800_q85_upscale.jpg,John Morris,http://john-morris.com/,https://chicagoarchitecturedata.com/buildings/2934-n-sheffield-avenue/
